,YEAR,COUNTY,POUNDS,VALUE,FIPS
384,2010,Cumberland,11649232,39436920,005
385,2010,Hancock,31306262,103696417,009
386,2010,Knox,25561334,83308122,013
387,2010,Lincoln,6194426,19622036,015
389,2010,Sagadahoc,1720544,6307314,023
390,2010,Waldo,372415,1225675,027
391,2010,Washington,16213914,52830939,029
392,2010,York,3190555,11624752,031
393,2010,Total,96208772,318052441,
394,2011,Cumberland,12469579,41667556,005
395,2011,Hancock,34071486,108189416,009
396,2011,Knox,29672698,94380783,013
397,2011,Lincoln,6391550,19964854,015
398,2011,Sagadahoc,1659690,5877406,023
399,2011,Waldo,456016,1449663,027
400,2011,Washington,16910075,51171345,029
401,2011,York,3293634,11838711,031
402,2011,Total,104924728,334539734,
403,2012,Cumberland,13807189,40434664,005
404,2012,Hancock,43467568,114227278,009
405,2012,Knox,35154555,95524992,013
406,2012,Lincoln,6799804,18327355,015
407,2012,Sagadahoc,2061928,5962184,023
408,2012,Waldo,546494,1448372,027
409,2012,Washington,21744391,53948126,029
410,2012,York,3739493,12206549,031
411,2012,Total,127321422,342079520,
412,2013,Cumberland,12193758,39113119,005
413,2013,Hancock,44136419,123785668,009
414,2013,Knox,34532764,103729589,013
415,2013,Lincoln,6378457,19003421,015
416,2013,Sagadahoc,2138756,6757811,023
417,2013,Waldo,688618,2063728,027
418,2013,Washington,23874397,62278091,029
419,2013,York,3865268,13652554,031
420,2013,Total,127808437,370383981,
421,2014,Cumberland,11874479,46797697,005
422,2014,Hancock,42575285,154881082,009
423,2014,Knox,33705103,126487159,013
424,2014,Lincoln,5982176,22115616,015
425,2014,Sagadahoc,2021714,7839769,023
426,2014,Waldo,864528,3396418,027
427,2014,Washington,23282620,81210885,029
428,2014,York,4020018,16779759,031
429,2014,Total,124325923,459508385,
430,2015,Cumberland,12299414,53104387,005
431,2015,Hancock,41612365,167686441,009
432,2015,Knox,34656419,144846058,013
433,2015,Lincoln,6228200,25935943,015
434,2015,Sagadahoc,1867984,8109875,023
435,2015,Waldo,805478,3400078,027
436,2015,Washington,21333130,82054104,029
437,2015,York,3860403,17313423,031
438,2015,Total,122663393,502450309,
439,2016,Cumberland,14387425,61474379,005
440,2016,Hancock,44964926,180411906,009
441,2016,Knox,35157040,148505875,013
442,2016,Lincoln,7129928,29223307,015
443,2016,Sagadahoc,2086181,8921975,023
444,2016,Waldo,827209,3514944,027
445,2016,Washington,23505050,88286344,029
446,2016,York,4489941,20075800,031
447,2016,Total,132547700,540414530,
448,2017,Cumberland,11358592,47953127,005
449,2017,Hancock,38471755,147102671,009
450,2017,Knox,29118968,120625889,013
451,2017,Lincoln,6115832,25015124,015
